Status,Issue #,Priority,Category,Issue,Tenant,Unit,Closed,Description
NOV SENT OUT,15187434,A,Violations,15187434,,,,SECTION 27-2005 ADM CODE REFIT VESTIBULE DOOR TO PUBLIC HALL AT BASEMENT
FIRST NO ACCESS TO RE- INSPECT VIOLATION,12975389,C,Violations,12975389,,3A,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13814531,C,Violations,13814531,,3A,,"SECTION 27-2043.1 HMC INSTALL THE MISSING OR REPAIR/REPLACE THE DEFECTIVE WINDOW GUARD(S) IN ACCORDANCE WITH THE SPECIFICATIONS OF THE NEW YORK CITY HEALTH CODE SECTION 24 RCNY CHAPTER 12. WG TO INSTALL = 1; WG TO REPLACE = 0; WG TO REPAIR = 0; IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM WEST AT NORTH"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13814532,B,Violations,13814532,,3A,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE NORTH WALL IN THE 2nd ROOM FROM EAST LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM WEST AT NORTH"
DEFECT LETTER ISSUED,14412570,C,Violations,14412570,,3G,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3G, 3rd STORY, 5th APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14450327,A,Violations,14450327,,6G,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL PEELING PAINT SURFACES IN THE 2nd ROOM FROM EAST AT SOUTH, THE 1st ROOM FROM EAST AT SOUTH LOCATED AT APT 6G, 6th STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOT COMPLIED WITH,13989021,B,Violations,13989021,,3B,,"SECTION 27-2026 ADM CODE REMOVE ALL OBSTRUCTIONS AND REPAIR ALL DEFECTS IN WASTELINE AT WASHBASIN IN THE BATHROOM LOCATED AT APT 3B, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''"
NOV SENT OUT,15187210,A,Violations,15187210,,,,"SECTION 27-2005 ADM CODE REFIT FIRE DOOR TO NORTH FIRE STAIRS AT PUBLIC HALL, 3rd STORY"
NOT COMPLIED WITH,6683799,B,Violations,6683799,,2A,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR WALLS AND CEILINGS THROUGHOUT IN THE ENTIRE APARTMENT LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,6683819,B,Violations,6683819,,2A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE PORCELAIN IN BATH TUB IN THE BATHROOM LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST"
NOV SENT OUT,15187207,A,Violations,15187207,,,,SECTION 27-2005 ADM CODE REFIT BUILDING ENTRANCE DOOR
NOV SENT OUT,15187208,C,Violations,15187208,,,,SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCK AT VESTIBULE DOOR TO PUBLIC HALL AT BASEMENT
NOV SENT OUT,15187212,C,Violations,15187212,,,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE HINGES AT FIRE DOOR IN BETWEEN NORTH AND SOUTH SECTIONS AT PUBLIC HALL, 2nd STORY"
NOV SENT OUT,15187214,A,Violations,15187214,,,,"SECTION 27-2005 ADM CODE REFIT HINGES AT FIRE DOOR IN BETWEEN NORTH AND SOUTH SECTIONS AT PUBLIC HALL, 1st STORY"
NOV SENT OUT,15187429,B,Violations,15187429,,1E,,"SECTION 27-2005 ADM CODE PROPERLY SECURE THE LOOSE LOWER SASH OF SOUTH WINDOW IN THE 1st ROOM FROM NORTH AT WEST LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST"
NOV SENT OUT,15187430,A,Violations,15187430,,1E,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE LOCK AT LOWER SASH OF NORTH WINDOW IN THE 1st ROOM FROM NORTH AT WEST LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST"
NOV SENT OUT,15187431,A,Violations,15187431,,1E,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CAULKING AROUND BATHTUB IN THE BATHROOM LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST"
NOTICE OF ISSUANCE SENT TO TENANT,15187432,C,Violations,15187432,,1E,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14496695,B,Violations,14496695,,6H,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR CEILING IN THE ENTIRE APARTMENT LOCATED AT APT 6H, 6th STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14496710,B,Violations,14496710,,6H,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING ( 15 SQ FT ) IN THE 2nd ROOM FROM NORTH AT WEST LOCATED AT APT 6H, 6th STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13763649,B,Violations,13763649,,6E,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILINGS IN THE 3rd ROOM FROM NORTH AT WEST LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13763668,B,Violations,13763668,,6E,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILINGS IN THE 1st ROOM FROM NORTH AT WEST LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM EAST AT SOUTH"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13763691,B,Violations,13763691,,6E,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILINGS IN THE FOYER LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13763699,B,Violations,13763699,,6E,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR ALL WALLS AND CEILINGS IN THE PRIVATE HALLWAY LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13763712,B,Violations,13763712,,6E,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE MECHANICAL VENT AT EAST WALL IN THE KITCHEN LOCATED AT APT 6E, 6th STORY, 2nd APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,13989025,C,Violations,13989025,,3B,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3B, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST , SECTION ''SOUTH''"
NOV SENT OUT,15187205,C,Violations,15187205,,,,HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE AT PUBLIC HALL
NOV SENT OUT,15187436,C,Violations,15187436,,,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE HINGES AT FIRE DOOR IN BETWEEN NORTH AND SOUTH SECTIONS AT PUBLIC HALL, 1st STORY"
NOV SENT OUT,15187438,A,Violations,15187438,,,,"SECTION 27-2005 ADM CODE REFIT FIRE DOOR TO SOUTH FIRE STAIRS AT PUBLIC HALL, 1st STORY"
NOV SENT OUT,15187439,C,Violations,15187439,,,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE CLOSURE ARM AT FIRE DOOR TO SOUTH FIRE STAIRS AT PUBLIC HALL, 1st STORY"
VIOLATION WILL BE REINSPECTED,14699279,A,Violations,14699279,,6K,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL GLAZE AT BATHTUB IN THE BATHROOM LOCATED AT APT 6K, 6th STORY, 1st APARTMENT FROM NORTH AT EAST"
NOV CERTIFIED ON TIME,15245768,A,Violations,15245768,,,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND CEILING AT BULKHEAD AT PUBLIC HALL, 6th STORY, SECTION ''NORTH ''"
NOV SENT OUT,15196864,B,Violations,15196864,,3L,,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE BATHROOM LOCATED AT APT 3L, 3rd STORY, 2nd APARTMENT FROM WEST AT NORTH"
INVALID CERTIFICATION,15145851,C,Violations,15145851,,5F,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 5F, 5th STORY, 4th APARTMENT FROM EAST AT SOUTH"
NOT COMPLIED WITH,13867770,B,Violations,13867770,,2A,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING , NORTH AND WEST WALL IN THE BATHROOM LOCATED AT APT 2A, 2nd STORY, 3rd APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14032461,B,Violations,14032461,,3F,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... AT CEILING IN THE 2nd ROOM FROM EAST LOCATED AT APT 3F, 4th STORY, 4th APARTMENT FROM EAST AT SOUTH ORIGINAL VIOLATION 13864107 ISSUED 21-OCT-20 HAS BEEN UPGRADED TO CLASS B PER ADMINISTRATIVE CODE 27-2017.3a(3)(a) or (b)."
NOT COMPLIED WITH,13898141,B,Violations,13898141,,4D,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR THE CEILING, WEST WALL IN THE BATHROOM LOCATED AT APT 4D, 4th STORY, 1st APARTMENT FROM SOUTH AT WEST"
VIOLATION WILL BE REINSPECTED,14715599,B,Violations,14715599,,3D,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... APPROX 1 SQ. FT. AT SOUTH WALL IN THE BATHROOM LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST ORIGINAL VIOLATION 14445916 ISSUED 03-AUG-21 HAS BEEN UPGRADED TO CLASS B PER ADMINISTRATIVE CODE ï¿½27-2017.3a(3)(a) or (b)."
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515241,C,Violations,14515241,,3A,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515244,C,Violations,14515244,,3A,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515256,A,Violations,14515256,,3A,,"SECTION 27-2043 ADM CODE PROVIDE A LOCK AND KEY TO THE ENTRANCE DOOR OF DWELLING UNIT AND, IF A CL A MULTIPLE DWELLING, ALSO CHAIN IN THE ENTRANCE LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515258,B,Violations,14515258,,3A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE MECHANICAL VENTILATION SYSTEM AT EAST WALL IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515259,A,Violations,14515259,,3A,,"SECTION 27-2005 ADM CODE REFIT DOOR IN THE ENTRANCE LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515278,B,Violations,14515278,,2H,,"SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE CABINET UNDER SINK IN THE KITCHEN LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515280,B,Violations,14515280,,2H,,"SECTION 27-2017.3 HMC: TRACE AND REPAIR THE SOURCE AND ABATE THE VISIBLE MOLD CONDITION... WEST AND NORTH WALLS APPROX.. 10 SQ FT IN THE 2nd ROOM FROM NORTH AT WEST LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515296,B,Violations,14515296,,2H,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING AND ALL WALLS IN THE 1st ROOM FROM NORTH LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14515302,B,Violations,14515302,,2H,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CEILING IN THE BATHROOM LOCATED AT APT 2H, 2nd STORY, 5th APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14515315,B,Violations,14515315,,,,SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE FIRE RETARDANT MATERIAL AT CEILING AT BULKHEAD
DEFECT LETTER ISSUED,14515326,C,Violations,14515326,,,,HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF RODENTS AT CELLAR
NOT COMPLIED WITH,14515558,B,Violations,14515558,,3D,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN ENAMEL AT BATHTUB IN THE BATHROOM LOCATED AT APT 3D, 3rd STORY, 1st APARTMENT FROM SOUTH AT WEST"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14523409,C,Violations,14523409,,3A,,"SECTION 27-2056.6 ADM CODE - CORRECT THE LEAD-BASED PAINT HAZARD - PRESUMED LEAD PAINT THAT IS PEELING OR ON A DETERIORATED SUBSURFACE USING WORK PRACTICES SET FORTH IN 28 RCNY ï¿½11-06(B)(2) NORTH WALL IN THE FOYER LOCATED AT APT 3A, 3rd STORY, 4th APARTMENT FROM NORTH AT EAST"
NOT COMPLIED WITH,15204926,C,Violations,15204926,,4F,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 4F, 4th STORY, 3rd APARTMENT FROM SOUTH AT WEST"
NOV SENT OUT,15204927,C,Violations,15204927,,,,SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE VESTIBULE TO CELLAR STORY DOOR LOCK
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14333656,A,Violations,14333656,,3A,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT THE NORTH WALL IN THE FOYER LOCATED AT APT 3A, 3rd STORY, 3rd APARTMENT FROM NORTH AT EAST"
VIOLATION WILL BE REINSPECTED,14336864,C,Violations,14336864,,,,"SECTION 27-2005, 2007 ADM CODE ARRANGE AND MAKE SELF-CLOSING THE DOORS .. AT PUBLIC HALL"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,13916146,B,Violations,13916146,,3A,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CERAMIC TILES AT WEST WALL IN THE BATHROOM LOCATED AT APT 3A, 3rd STORY"
NOT COMPLIED WITH,14533627,B,Violations,14533627,,4F,,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE KITCHEN LOCATED AT APT 4F, 4th APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14533629,B,Violations,14533629,,4F,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT CELING AND ALL WALLS IN THE KITCHEN LOCATED AT APT 4F, 4th APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14533740,B,Violations,14533740,,5D,,"SECTION 27-2005 ADM CODE REPAIR THE BROKEN OR DEFECTIVE PLASTERED SURFACES AND PAINT IN A UNIFORM COLOR AT ALL WALLS, CEILING AND TRIM THROUGHOUT IN THE ENTIRE APARTMENT LOCATED AT APT 5D, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST"
NOT COMPLIED WITH,14533742,B,Violations,14533742,,5D,,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE BATHROOM LOCATED AT APT 5D, 5th STORY, 1st APARTMENT FROM SOUTH AT WEST"
NOV SENT OUT,15208323,B,Violations,15208323,,1E,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE WOOD BASE CABINET IN THE KITCHEN LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOTICE OF ISSUANCE SENT TO TENANT,15208324,C,Violations,15208324,,1E,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF ROACHES IN THE ENTIRE APARTMENT LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOTICE OF ISSUANCE SENT TO TENANT,15208325,C,Violations,15208325,,1E,,"HMC ADM CODE: ï¿½ 27-2017.4 ABATE THE INFESTATION CONSISTING OF MICE IN THE ENTIRE APARTMENT LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOV SENT OUT,15208326,B,Violations,15208326,,1E,,"SECTION 27-2005 ADM CODE REPLACE WITH NEW THE BROKEN OR DEFECTIVE UPPER AND LOWER WOOD SASH EAST WINDOW SOUTH WALL IN THE 2nd ROOM FROM EAST LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOV SENT OUT,15208327,B,Violations,15208327,,1E,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE PORCELAIN GLAZE BATHTUB IN THE BATHROOM LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOV SENT OUT,15208328,A,Violations,15208328,,1E,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR WITH SIMILAR MATERIAL THE BROKEN OR DEFECTIVE CAULKING AROUND BATHTUB IN THE BATHROOM LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOV SENT OUT,15208331,A,Violations,15208331,,1E,,"SECTION 27-2013 ADM CODE PAINT WITH LIGHT COLORED PAINT TO THE SATISFACTION OF THIS DEPARTMENT ALL WALLS AND CEILING IN THE BATHROOM LOCATED AT APT 1E, 1st STORY, 2nd APARTMENT FROM EAST AT SOUTH"
NOV SENT OUT,15208346,B,Violations,15208346,,3L,,"SECTION 27-2005 ADM CODE PROPERLY REPAIR THE BROKEN OR DEFECTIVE EAST 2 WINDOW LOWER SASH COUNTER BALANCE IN THE 1st ROOM FROM EAST AT NORTH LOCATED AT APT 3L, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST"
NOV SENT OUT,15208344,C,Violations,15208344,,3L,,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE BATHROOM LOCATED AT APT 3L, 3rd STORY, 2nd APARTMENT FROM NORTH AT EAST"
NOV CERTIFIED ON TIME,15402835,C,Violations,15402835,,,,"SECTION 27-2005, 27-2007, 27-2041.1 HMC: REPLACE OR REPAIR THE SELF-CLOSING DOORS THAT IS MISSING OR DEFECTIVE AT COMPACTOR CLOSET, 2nd STORY"
FIRST NO ACCESS TO RE- INSPECT VIOLATION,14724030,B,Violations,14724030,,2B,,"SECTION 27-2026, 2027 HMC: PROPERLY REPAIR THE SOURCE AND ABATE THE EVIDENCE OF A WATER LEAK AT CEILING IN THE 1st ROOM FROM NORTH LOCATED AT APT 2B, 2nd STORY, 4th APARTMENT FROM WEST AT NORTH"
